Time,Open,High,Low,Close,Volume
20201113090006,3700,3700,3700,3700,1243387
20201113090006,3705,3705,3705,3705,544
20201113090006,3705,3705,3705,3705,120
20201113090006,3705,3705,3705,3705,400
20201113090006,3705,3705,3705,3705,120
20201113090006,3700,3700,3700,3700,129
20201113090006,3705,3705,3705,3705,5
20201113090006,3705,3705,3705,3705,810
20201113090006,3705,3705,3705,3705,5
20201113090006,3700,3700,3700,3700,257
20201113090006,3705,3705,3705,3705,5
20201113090006,3705,3705,3705,3705,1214
20201113090006,3700,3700,3700,3700,7561
20201113090006,3700,3700,3700,3700,6
20201113090006,3700,3700,3700,3700,1
20201113090006,3705,3705,3705,3705,5
20201113090006,3705,3705,3705,3705,5
20201113090006,3705,3705,3705,3705,134
20201113090006,3705,3705,3705,3705,75
20201113090006,3705,3705,3705,3705,269
20201113090006,3705,3705,3705,3705,5
20201113090006,3700,3700,3700,3700,100
20201113090006,3705,3705,3705,3705,5
20201113090006,3705,3705,3705,3705,809
20201113090006,3705,3705,3705,3705,154062
20201113090006,3705,3705,3705,3705,250
20201113090007,3700,3700,3700,3700,10706
20201113090007,3700,3700,3700,3700,3
20201113090007,3700,3700,3700,3700,1
20201113090007,3705,3705,3705,3705,5
20201113090007,3700,3700,3700,3700,2713
20201113090007,3700,3700,3700,3700,8
20201113090007,3700,3700,3700,3700,32
20201113090007,3705,3705,3705,3705,80000
20201113090007,3700,3700,3700,3700,10
20201113090008,3705,3705,3705,3705,270
20201113090008,3700,3700,3700,3700,1
20201113090008,3705,3705,3705,3705,1705
20201113090008,3705,3705,3705,3705,200
20201113090008,3700,3700,3700,3700,100
20201113090008,3700,3700,3700,3700,100
20201113090008,3700,3700,3700,3700,500
20201113090008,3705,3705,3705,3705,56000
20201113090008,3700,3700,3700,3700,19
20201113090008,3700,3700,3700,3700,4
20201113090008,3705,3705,3705,3705,300
20201113090008,3705,3705,3705,3705,50
20201113090008,3705,3705,3705,3705,56000
20201113090009,3700,3700,3700,3700,4
20201113090009,3705,3705,3705,3705,91164
20201113090009,3710,3710,3710,3710,1
20201113090009,3705,3705,3705,3705,4626
20201113090009,3705,3705,3705,3705,1
20201113090009,3705,3705,3705,3705,51373
20201113090009,3705,3705,3705,3705,52
20201113090009,3705,3705,3705,3705,817
20201113090009,3700,3700,3700,3700,416
20201113090009,3705,3705,3705,3705,5
20201113090009,3705,3705,3705,3705,120
20201113090009,3700,3700,3700,3700,53
20201113090009,3705,3705,3705,3705,2000
20201113090009,3705,3705,3705,3705,200
20201113090009,3700,3700,3700,3700,19
20201113090009,3705,3705,3705,3705,5
20201113090010,3700,3700,3700,3700,19
20201113090010,3705,3705,3705,3705,1000
20201113090010,3700,3700,3700,3700,3235
20201113090010,3700,3700,3700,3700,2000
20201113090010,3700,3700,3700,3700,5000
20201113090010,3705,3705,3705,3705,400
20201113090010,3700,3700,3700,3700,300
20201113090010,3705,3705,3705,3705,5
20201113090011,3700,3700,3700,3700,300
20201113090011,3705,3705,3705,3705,100
20201113090011,3705,3705,3705,3705,629
20201113090011,3705,3705,3705,3705,24587
20201113090011,3700,3700,3700,3700,19
20201113090011,3705,3705,3705,3705,100
20201113090011,3705,3705,3705,3705,10
20201113090011,3705,3705,3705,3705,136
20201113090011,3705,3705,3705,3705,11
20201113090011,3705,3705,3705,3705,32
20201113090012,3705,3705,3705,3705,2660
20201113090012,3705,3705,3705,3705,400
20201113090012,3705,3705,3705,3705,20
20201113090012,3705,3705,3705,3705,200
20201113090012,3705,3705,3705,3705,70936
20201113090012,3705,3705,3705,3705,222
20201113090012,3705,3705,3705,3705,400
20201113090013,3705,3705,3705,3705,1000
20201113090013,3700,3700,3700,3700,100
20201113090013,3705,3705,3705,3705,10
20201113090013,3705,3705,3705,3705,25
20201113090013,3710,3710,3710,3710,1000
20201113090013,3700,3700,3700,3700,19
20201113090013,3705,3705,3705,3705,400
20201113090013,3705,3705,3705,3705,100
20201113090014,3705,3705,3705,3705,3000
20201113090014,3700,3700,3700,3700,19
20201113090014,3705,3705,3705,3705,231
20201113090014,3700,3700,3700,3700,19
20201113090014,3700,3700,3700,3700,19
20201113090014,3705,3705,3705,3705,500
20201113090014,3700,3700,3700,3700,15
20201113090014,3705,3705,3705,3705,10
20201113090015,3705,3705,3705,3705,83
20201113090015,3705,3705,3705,3705,200
20201113090015,3700,3700,3700,3700,11856
20201113090016,3705,3705,3705,3705,86
20201113090016,3700,3700,3700,3700,56000
20201113090016,3700,3700,3700,3700,111392
20201113090016,3695,3695,3695,3695,8000
20201113090016,3705,3705,3705,3705,74
20201113090016,3700,3700,3700,3700,3
20201113090016,3700,3700,3700,3700,10
20201113090016,3700,3700,3700,3700,100
20201113090017,3700,3700,3700,3700,3
20201113090017,3695,3695,3695,3695,5
20201113090017,3700,3700,3700,3700,120
20201113090017,3700,3700,3700,3700,5615
20201113090018,3695,3695,3695,3695,19
20201113090018,3700,3700,3700,3700,263
20201113090018,3700,3700,3700,3700,100
20201113090018,3700,3700,3700,3700,171
20201113090018,3705,3705,3705,3705,50
20201113090018,3705,3705,3705,3705,27
20201113090018,3700,3700,3700,3700,27000
20201113090018,3705,3705,3705,3705,31
20201113090019,3700,3700,3700,3700,3000
20201113090019,3705,3705,3705,3705,2000
20201113090019,3700,3700,3700,3700,1000
20201113090019,3695,3695,3695,3695,19
20201113090019,3695,3695,3695,3695,19
20201113090019,3705,3705,3705,3705,2
20201113090019,3700,3700,3700,3700,10
20201113090019,3695,3695,3695,3695,46734
20201113090019,3705,3705,3705,3705,5
20201113090020,3700,3700,3700,3700,232
20201113090020,3700,3700,3700,3700,26000
20201113090020,3700,3700,3700,3700,19
20201113090020,3700,3700,3700,3700,1
20201113090020,3700,3700,3700,3700,136
20201113090020,3700,3700,3700,3700,4000
20201113090020,3700,3700,3700,3700,5
20201113090020,3700,3700,3700,3700,19
20201113090020,3705,3705,3705,3705,300
20201113090020,3705,3705,3705,3705,200
20201113090020,3705,3705,3705,3705,2724
20201113090021,3700,3700,3700,3700,4463
20201113090021,3705,3705,3705,3705,30
20201113090021,3705,3705,3705,3705,56000
20201113090021,3705,3705,3705,3705,261938
20201113090021,3710,3710,3710,3710,200
20201113090021,3710,3710,3710,3710,12
20201113090021,3700,3700,3700,3700,4000
