Transaction time,opening,highest,lowest,current,amount
201912130900_,13570,13675,13570,13670,1494330
201912130901_,13670,13680,13645,13650,335833
201912130902_,13650,13670,13645,13670,372804
201912130903_,13665,13670,13615,13625,283931
201912130904_,13625,13630,13590,13595,184982
201912130905_,13595,13605,13585,13590,192578
201912130906_,13590,13605,13585,13590,189849
201912130907_,13590,13605,13585,13600,167456
201912130908_,13605,13610,13585,13590,142596
201912130909_,13590,13595,13560,13560,144040
201912130910_,13565,13585,13560,13585,138072
201912130911_,13585,13590,13575,13590,125808
201912130912_,13585,13630,13580,13625,215154
201912130913_,13625,13625,13605,13615,191585
201912130914_,13610,13625,13610,13620,136955
201912130915_,13620,13620,13605,13610,178914
201912130916_,13605,13625,13600,13620,89099
201912130917_,13625,13650,13620,13650,157472
201912130918_,13650,13650,13630,13635,93859
201912130919_,13630,13650,13630,13640,147578
201912130920_,13645,13655,13640,13650,125826
201912130921_,13650,13655,13635,13650,139802
201912130922_,13655,13655,13635,13635,220230
201912130923_,13635,13650,13635,13635,39000
201912130924_,13635,13640,13610,13615,241733
201912130925_,13610,13630,13610,13620,50784
201912130926_,13620,13625,13605,13610,85651
201912130927_,13610,13615,13600,13610,139509
201912130928_,13610,13610,13590,13595,48172
201912130929_,13595,13600,13590,13595,61183
201912130930_,13595,13600,13580,13585,107442
201912130931_,13580,13585,13570,13580,80440
201912130932_,13580,13585,13570,13580,64678
201912130933_,13580,13615,13580,13610,252060
201912130934_,13605,13610,13600,13600,45805
201912130935_,13600,13620,13600,13615,48524
201912130936_,13620,13620,13600,13600,55239
201912130937_,13600,13620,13600,13615,44287
201912130938_,13620,13620,13610,13620,50862
201912130939_,13615,13635,13615,13625,96475
201912130940_,13625,13630,13610,13610,54621
201912130941_,13610,13610,13590,13595,54037
201912130942_,13595,13600,13585,13590,65315
201912130943_,13590,13600,13575,13590,57146
201912130944_,13590,13600,13580,13595,55901
201912130945_,13590,13605,13585,13605,40705
201912130946_,13605,13625,13600,13620,103619
201912130947_,13620,13635,13620,13630,219751
201912130948_,13630,13635,13625,13625,108102
201912130949_,13630,13635,13620,13620,48147
201912130950_,13625,13635,13620,13630,71930
201912130951_,13630,13635,13630,13630,23355
201912130952_,13635,13650,13630,13650,319048
201912130953_,13650,13650,13640,13645,80492
201912130954_,13645,13645,13635,13645,80424
201912130955_,13645,13645,13630,13640,29524
201912130956_,13645,13650,13640,13650,269444
201912130957_,13650,13655,13645,13650,68420
201912130958_,13650,13655,13645,13645,28292
201912130959_,13650,13650,13640,13650,31951
201912131000_,13645,13665,13645,13665,142065
201912131001_,13660,13665,13650,13655,109910
201912131002_,13655,13655,13635,13640,120189
201912131003_,13640,13650,13635,13650,15107
201912131004_,13645,13655,13640,13645,22781
201912131005_,13645,13660,13640,13650,89504
201912131006_,13650,13655,13635,13640,47209
201912131007_,13635,13640,13620,13620,102520
201912131008_,13625,13630,13620,13625,54198
201912131009_,13625,13635,13615,13630,52873
201912131010_,13630,13640,13625,13630,12561
201912131011_,13625,13635,13620,13635,109984
201912131012_,13635,13640,13630,13640,38293
201912131013_,13635,13650,13635,13645,59994
201912131014_,13650,13660,13645,13650,170143
201912131015_,13655,13660,13645,13650,190855
201912131016_,13645,13645,13635,13640,41094
201912131017_,13635,13645,13635,13635,2728
201912131018_,13635,13640,13625,13630,150173
201912131019_,13630,13635,13625,13630,47020
201912131020_,13630,13640,13625,13640,35059
201912131021_,13635,13640,13630,13635,27267
201912131022_,13635,13645,13630,13640,31020
201912131023_,13640,13650,13640,13645,41585
201912131024_,13645,13650,13640,13645,35826
201912131025_,13645,13655,13640,13655,142299
201912131026_,13655,13665,13650,13660,179302
201912131027_,13660,13675,13660,13675,303814
201912131028_,13675,13680,13665,13675,216798
201912131029_,13675,13675,13655,13660,97967
201912131030_,13660,13665,13650,13655,46664
201912131031_,13655,13665,13655,13660,35419
201912131032_,13665,13665,13650,13650,62901
201912131033_,13655,13660,13650,13650,70038
201912131034_,13650,13655,13640,13645,60654
201912131035_,13640,13645,13640,13640,67998
201912131036_,13640,13650,13640,13645,7190
201912131037_,13645,13650,13640,13640,14393
201912131038_,13645,13645,13620,13620,72372
201912131039_,13625,13635,13620,13635,22211
201912131040_,13635,13640,13630,13630,27361
201912131041_,13630,13645,13625,13635,42627
201912131042_,13635,13650,13635,13635,25250
201912131043_,13640,13640,13630,13640,16515
201912131044_,13640,13640,13630,13630,14637
201912131045_,13635,13640,13630,13630,8862
201912131046_,13630,13640,13630,13635,38687
201912131047_,13640,13660,13635,13655,59783
201912131048_,13660,13660,13645,13650,13113
201912131049_,13650,13655,13645,13655,26363
201912131050_,13650,13655,13645,13650,9073
201912131051_,13650,13655,13630,13630,73677
201912131052_,13630,13640,13630,13635,3053
201912131053_,13635,13635,13620,13625,70644
201912131054_,13625,13630,13620,13625,13095
201912131055_,13625,13640,13625,13635,18071
201912131056_,13635,13640,13625,13635,15061
201912131057_,13630,13630,13620,13625,15955
201912131058_,13625,13635,13620,13625,17563
201912131059_,13625,13630,13625,13625,6147
201912131100_,13630,13630,13625,13625,13968
201912131101_,13625,13630,13620,13630,9512
201912131102_,13630,13635,13625,13635,10848
201912131103_,13635,13640,13630,13630,32431
201912131104_,13630,13630,13625,13625,13698
201912131105_,13625,13635,13620,13630,12155
201912131106_,13630,13635,13620,13635,10672
